No,q1Title,q1Body,q2Title,q2Body,q1 Title + body,Length of cell,top,top5,top10,,,top,top5,top10
48,Accessing the index in 'for' loops,"<p>In my example code below, is the counter = 0 really required, or is there a better, more Python, way to get access to a loop counter? I saw a few PEPs related to loop counters, but they were either deferred or rejected (<a href=""http://www.python.org/dev/peps/pep-0212/"" rel=""noreferrer"">PEP 212</a> and <a href=""http://www.python.org/dev/peps/pep-0281/"" rel=""noreferrer"">PEP 281</a>).</p>

<p>This is a simplified example of my problem. In my real application this is done with graphics and the whole menu has to be repainted each frame. But this demonstrates it in a simple text way that is easy to reproduce.</p>

<p>Maybe I should also add that I'm using Python 2.5, although I'm still interested if there is a way specific to 2.6 or higher.</p>

<pre><code># Draw all the options, but highlight the selected index
def draw_menu(options, selected_index):
    counter = 0
    for option in options:
        if counter == selected_index:
            print "" [*] %s"" % option
        else:
            print "" [ ] %s"" % option
        counter += 1


options = ['Option 0', 'Option 1', 'Option 2', 'Option 3']

draw_menu(option, 2) # Draw menu with ""Option2"" selected
</code></pre>

<p>When run, it outputs:</p>

<pre><code> [ ] Option 0
 [ ] Option 1
 [*] Option 2
 [ ] Option 3
</code></pre>
",Python loop counter in a for loop ,"<p>How do I access the index in a <code>for</code> loop?</p>
<pre><code>xs = [8, 23, 45]

for x in xs:
    print(&quot;item #{} = {}&quot;.format(index, x))
</code></pre>
<p>Desired output:</p>
<pre class=""lang-none prettyprint-override""><code>item #1 = 8
item #2 = 23
item #3 = 45
</code></pre>
","Accessing the index in 'for' loops <p>In my example code below, is the counter = 0 really required, or is there a better, more Python, way to get access to a loop counter? I saw a few PEPs related to loop counters, but they were either deferred or rejected (<a href=""http://www.python.org/dev/peps/pep-0212/"" rel=""noreferrer"">PEP 212</a> and <a href=""http://www.python.org/dev/peps/pep-0281/"" rel=""noreferrer"">PEP 281</a>).</p>

<p>This is a simplified example of my problem. In my real application this is done with graphics and the whole menu has to be repainted each frame. But this demonstrates it in a simple text way that is easy to reproduce.</p>

<p>Maybe I should also add that I'm using Python 2.5, although I'm still interested if there is a way specific to 2.6 or higher.</p>

<pre><code># Draw all the options, but highlight the selected index
def draw_menu(options, selected_index):
    counter = 0
    for option in options:
        if counter == selected_index:
            print "" [*] %s"" % option
        else:
            print "" [ ] %s"" % option
        counter += 1


options = ['Option 0', 'Option 1', 'Option 2', 'Option 3']

draw_menu(option, 2) # Draw menu with ""Option2"" selected
</code></pre>

<p>When run, it outputs:</p>

<pre><code> [ ] Option 0
 [ ] Option 1
 [*] Option 2
 [ ] Option 3
</code></pre>
",1332,1,1,1,,,1,1,1
49,"""Least Astonishment"" and the Mutable Default Argument","<p>Somehow, in the Node class below, the <code>wordList</code> and <code>adjacencyList</code> variable is shared between all instances of Node.</p>

<pre><code>&gt;&gt;&gt; class Node:
...     def __init__(self, wordList = [], adjacencyList = []):
...         self.wordList = wordList
...         self.adjacencyList = adjacencyList
... 
&gt;&gt;&gt; a = Node()
&gt;&gt;&gt; b = Node()
&gt;&gt;&gt; a.wordList.append(""hahaha"")
&gt;&gt;&gt; b.wordList
['hahaha']
&gt;&gt;&gt; b.adjacencyList.append(""hoho"")
&gt;&gt;&gt; a.adjacencyList
['hoho']
</code></pre>

<p>Is there any way I can keep using the default value (empty list in this case) for the constructor parameters but to get both <code>a</code> and <code>b</code> to have their own <code>wordList</code> and <code>adjacencyList</code> variables?</p>

<p>I am using python 3.1.2.</p>
",Python constructor and default value,"<p>Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:</p>
<pre><code>def foo(a=[]):
    a.append(5)
    return a
</code></pre>
<p>Python novices would expect this function to always return a list with only one element: <code>[5]</code>. The result is instead very different, and very astonishing (for a novice):</p>
<pre><code>&gt;&gt;&gt; foo()
[5]
&gt;&gt;&gt; foo()
[5, 5]
&gt;&gt;&gt; foo()
[5, 5, 5]
&gt;&gt;&gt; foo()
[5, 5, 5, 5]
&gt;&gt;&gt; foo()
</code></pre>
<p>A manager of mine once had his first encounter with this feature, and called it &quot;a dramatic design flaw&quot; of the language. I replied that the behavior had an underlying explanation, and it is indeed very puzzling and unexpected if you don't understand the internals. However, I was not able to answer (to myself) the following question: what is the reason for binding the default argument at function definition, and not at function execution? I doubt the experienced behavior has a practical use (who really used static variables in C, without breeding bugs?)</p>
<p><strong>Edit</strong>:</p>
<p><a href=""https://stackoverflow.com/a/1137164/7487335"">Baczek made an interesting example</a>. Together with most of your comments and <a href=""https://stackoverflow.com/a/1134623/7487335"">Utaal's in particular</a>, I elaborated further:</p>
<pre><code>&gt;&gt;&gt; def a():
...     print(&quot;a executed&quot;)
...     return []
... 
&gt;&gt;&gt;            
&gt;&gt;&gt; def b(x=a()):
...     x.append(5)
...     print(x)
... 
a executed
&gt;&gt;&gt; b()
[5]
&gt;&gt;&gt; b()
[5, 5]
</code></pre>
<p>To me, it seems that the design decision was relative to where to put the scope of parameters: inside the function, or &quot;together&quot; with it?</p>
<p>Doing the binding inside the function would mean that <code>x</code> is effectively bound to the specified default when the function is called, not defined, something that would present a deep flaw: the <code>def</code> line would be &quot;hybrid&quot; in the sense that part of the binding (of the function object) would happen at definition, and part (assignment of default parameters) at function invocation time.</p>
<p>The actual behavior is more consistent: everything of that line gets evaluated when that line is executed, meaning at function definition.</p>
","""Least Astonishment"" and the Mutable Default Argument <p>Somehow, in the Node class below, the <code>wordList</code> and <code>adjacencyList</code> variable is shared between all instances of Node.</p>

<pre><code>&gt;&gt;&gt; class Node:
...     def __init__(self, wordList = [], adjacencyList = []):
...         self.wordList = wordList
...         self.adjacencyList = adjacencyList
... 
&gt;&gt;&gt; a = Node()
&gt;&gt;&gt; b = Node()
&gt;&gt;&gt; a.wordList.append(""hahaha"")
&gt;&gt;&gt; b.wordList
['hahaha']
&gt;&gt;&gt; b.adjacencyList.append(""hoho"")
&gt;&gt;&gt; a.adjacencyList
['hoho']
</code></pre>

<p>Is there any way I can keep using the default value (empty list in this case) for the constructor parameters but to get both <code>a</code> and <code>b</code> to have their own <code>wordList</code> and <code>adjacencyList</code> variables?</p>

<p>I am using python 3.1.2.</p>
",893,0,0,0,,,0,0,1
50,Why do Python classes inherit object?,"<p>I have found that both of the following work:</p>

<pre><code>class Foo():
    def a(self):
        print ""hello""

class Foo(object):
    def a(self):
        print ""hello""
</code></pre>

<p>Should all Python classes extend object? Are there any potential problems with not extending object?</p>
",Should all Python classes extend object?,"<p>Why does the following class declaration inherit from <code>object</code>?</p>
<pre><code>class MyClass(object):
    ...
</code></pre>
","Why do Python classes inherit object? <p>I have found that both of the following work:</p>

<pre><code>class Foo():
    def a(self):
        print ""hello""

class Foo(object):
    def a(self):
        print ""hello""
</code></pre>

<p>Should all Python classes extend object? Are there any potential problems with not extending object?</p>
",337,1,1,1,,,0,1,1
51,How do I check if a list is empty?,"<p>The API I'm working with can return empty <code>[]</code> lists.</p>

<p>The following conditional statements aren't working as expected:</p>

<pre><code>if myList is not None: #not working
    pass

if myList is not []: #not working
    pass
</code></pre>

<p>What will work?</p>
",How to check if a list is empty in Python?,"<p>For example, if passed the following:</p>

<pre><code>a = []
</code></pre>

<p>How do I check to see if <code>a</code> is empty?</p>
","How do I check if a list is empty? <p>The API I'm working with can return empty <code>[]</code> lists.</p>

<p>The following conditional statements aren't working as expected:</p>

<pre><code>if myList is not None: #not working
    pass

if myList is not []: #not working
    pass
</code></pre>

<p>What will work?</p>
",319,1,1,1,,,1,1,1
52,How can I randomly select an item from a list?,"<p>The first examples that I googled didn't work. This should be trivial, right?</p>
",How do I select a random element from an array in Python? ,"<p>How do I retrieve an item at random from the following list?</p>
<pre><code>foo = ['a', 'b', 'c', 'd', 'e']
</code></pre>
","How can I randomly select an item from a list? <p>The first examples that I googled didn't work. This should be trivial, right?</p>
",132,0,1,1,,,0,1,1
53,How do I log a Python error with debug information?,"<p>How can I log an exception in Python?</p>

<p>I've looked at some options and found out I can access the actual exception details using this code:</p>

<pre><code>import sys
import traceback

try:
    1/0
except:
    exc_type, exc_value, exc_traceback = sys.exc_info()
    traceback.print_exception(exc_type, exc_value, exc_traceback)
</code></pre>

<p>I would like to somehow get the string <code>print_exception()</code> throws to stdout so that I can log it.</p>
",How to log python exception?,"<p>I am printing Python exception messages to a log file with <code>logging.error</code>:</p>

<pre><code>import logging
try:
    1/0
except ZeroDivisionError as e:
    logging.error(e)  # ERROR:root:division by zero
</code></pre>

<p>Is it possible to print more detailed information about the exception and the code that generated it than just the exception string? Things like line numbers or stack traces would be great.</p>
","How do I log a Python error with debug information? <p>How can I log an exception in Python?</p>

<p>I've looked at some options and found out I can access the actual exception details using this code:</p>

<pre><code>import sys
import traceback

try:
    1/0
except:
    exc_type, exc_value, exc_traceback = sys.exc_info()
    traceback.print_exception(exc_type, exc_value, exc_traceback)
</code></pre>

<p>I would like to somehow get the string <code>print_exception()</code> throws to stdout so that I can log it.</p>
",521,0,1,1,,,0,1,1
54,Is there a NumPy function to return the first index of something in an array? ,"<p>In Python we can get the index of a value in an array by using <code>.index()</code>.</p>
<p>But with a NumPy array, when I try to do:</p>
<pre><code>decoding.index(i)
</code></pre>
<p>I get:</p>
<blockquote>
<p>AttributeError: 'numpy.ndarray' object has no attribute 'index'</p>
</blockquote>
<p>How could I do this on a NumPy array?</p>
",Index of element in NumPy array,"<p>I know there is a method for a Python list to return the first index of something:</p>
<pre><code>&gt;&gt;&gt; xs = [1, 2, 3]
&gt;&gt;&gt; xs.index(2)
1
</code></pre>
<p>Is there something like that for NumPy arrays?</p>
","Is there a NumPy function to return the first index of something in an array?  <p>In Python we can get the index of a value in an array by using <code>.index()</code>.</p>
<p>But with a NumPy array, when I try to do:</p>
<pre><code>decoding.index(i)
</code></pre>
<p>I get:</p>
<blockquote>
<p>AttributeError: 'numpy.ndarray' object has no attribute 'index'</p>
</blockquote>
<p>How could I do this on a NumPy array?</p>
",421,1,1,1,,,0,1,1
55,Python How to sort a list of objects based on an attribute of the objects?,"<p>I have a list of class instances - </p>

<pre><code>x = [&lt;iteminstance1&gt;,...]
</code></pre>

<p>among other attributes the class has <code>score</code> attribute. How can I sort the items in  ascending order based on this parameter?</p>

<p><strong>EDIT</strong>: The <code>list</code> in python has something called <code>sort</code>. Could I use this here? How do I direct this function to use my <code>score</code> attribute?</p>
",Sort a list of Class Instances,"<p>I have a list of Python objects that I want to sort by a specific attribute of each object:</p>
<pre><code>&gt;&gt;&gt; ut
[Tag(name=&quot;toe&quot;, count=10), Tag(name=&quot;leg&quot;, count=2), ...]
</code></pre>
<p>How do I sort the list by <code>.count</code> in descending order?</p>
","Python How to sort a list of objects based on an attribute of the objects? <p>I have a list of class instances - </p>

<pre><code>x = [&lt;iteminstance1&gt;,...]
</code></pre>

<p>among other attributes the class has <code>score</code> attribute. How can I sort the items in  ascending order based on this parameter?</p>

<p><strong>EDIT</strong>: The <code>list</code> in python has something called <code>sort</code>. Could I use this here? How do I direct this function to use my <code>score</code> attribute?</p>
",517,0,0,0,,,0,0,0
56,How do I remove/delete a folder that is not empty?,"<p>How do I delete a possibly non-empty dir in Python.</p>

<p>The directory may have nested subdirectories many levels deep.</p>
",python: delete non-empty dir ,"<p>I am getting an 'access is denied' error when I attempt to delete a folder that is not empty. I used the following command in my attempt: <code>os.remove(""/folder_name"")</code>. </p>

<p>What is the most effective way of removing/deleting a folder/directory that is not empty?</p>
","How do I remove/delete a folder that is not empty? <p>How do I delete a possibly non-empty dir in Python.</p>

<p>The directory may have nested subdirectories many levels deep.</p>
",181,0,1,1,,,0,1,1
57,"Is there a difference between ""=="" and ""is""? ","<p>I run the following in the Python interpreter:</p>

<pre class=""lang-python prettyprint-override""><code>&gt;&gt;&gt; foo = 10
&gt;&gt;&gt; dir(foo) == dir(10)
True
&gt;&gt;&gt; dir(foo) is dir(10)
False
&gt;&gt;&gt; 
</code></pre>

<p>Why is this?</p>
",double equals vs is in python,"<p>My <a href=""https://english.stackexchange.com/questions/19967/what-does-google-fu-mean"">Google-fu</a> has failed me.</p>

<p>In Python, are the following two tests for equality equivalent?</p>

<pre><code>n = 5
# Test one.
if n == 5:
    print 'Yay!'

# Test two.
if n is 5:
    print 'Yay!'
</code></pre>

<p>Does this hold true for objects where you would be comparing instances (a <code>list</code> say)?</p>

<p>Okay, so this kind of answers my question:</p>

<pre><code>L = []
L.append(1)
if L == [1]:
    print 'Yay!'
# Holds true, but...

if L is [1]:
    print 'Yay!'
# Doesn't.
</code></pre>

<p>So <code>==</code> tests value where <code>is</code> tests to see if they are the same object?</p>
","Is there a difference between ""=="" and ""is""?  <p>I run the following in the Python interpreter:</p>

<pre class=""lang-python prettyprint-override""><code>&gt;&gt;&gt; foo = 10
&gt;&gt;&gt; dir(foo) == dir(10)
True
&gt;&gt;&gt; dir(foo) is dir(10)
False
&gt;&gt;&gt; 
</code></pre>

<p>Why is this?</p>
",301,0,0,0,,,0,0,0
58,How to calculate number of days between two given dates ,"<p>What's the shortest way to see how many full days have passed between two dates?
Here's what I'm doing now.</p>

<pre><code>math.floor((b - a).total_seconds()/float(86400))
</code></pre>
",Days between two dates?,"<p>If I have two dates (ex. <code>'8/18/2008'</code> and <code>'9/26/2008'</code>), what is the best way to get the number of days between these two dates?</p>
","How to calculate number of days between two given dates  <p>What's the shortest way to see how many full days have passed between two dates?
Here's what I'm doing now.</p>

<pre><code>math.floor((b - a).total_seconds()/float(86400))
</code></pre>
",247,1,1,1,,,1,1,1
59,How to print without a newline or space,"<p>When I use the <code>print</code> command, it prints whatever I want and then goes to a different line. For example:</p>
<pre><code>print &quot;this should be&quot;; print &quot;on the same line&quot;
</code></pre>
<p>Should return:</p>
<blockquote>
<p>this should be on the same line</p>
</blockquote>
<p>but instead returns:</p>
<blockquote>
<p>this should be<br />
on the same line</p>
</blockquote>
<p>More precisely I was trying to create a program with <code>if</code> that told me whether a number was a 2 or not</p>
<pre><code>def test2(x):
    if x == 2:
        print &quot;Yeah bro, that's tottaly a two&quot;
    else:
        print &quot;Nope, that is not a two. That is a (x)&quot;
</code></pre>
<p>But it doesn't recognise the last <code>(x)</code> as the value entered, and rather prints exactly: &quot;(x)&quot; (the letter with the brackets). To make it work I have to write:</p>
<pre><code>print &quot;Nope, that is not a two. That is a&quot;; print (x)
</code></pre>
<p>And if e.g. I enter <code>test2(3)</code> that gives:</p>
<blockquote>
<p>Nope, that is not a two, that is a<br />
3</p>
</blockquote>
<p>So either I need to make Python recognise my (x) inside a print line as the number; or to print two separate things but on the same line.</p>
<p><strong>IMPORTANT NOTE</strong>: I am using <strong>version 2.5.4</strong></p>
<p>Another note: If I put <code>print &quot;Thing&quot; , print &quot;Thing2&quot;</code> it says &quot;Syntax error&quot; on the 2nd print.</p>
",Python: avoid new line with print command ,"<p>Example in C:</p>
<pre class=""lang-cpp prettyprint-override""><code>for (int i = 0; i &lt; 4; i++)
    printf(&quot;.&quot;);
</code></pre>
<p>Output:</p>
<pre><code>....
</code></pre>
<p>In Python:</p>
<pre class=""lang-py prettyprint-override""><code>&gt;&gt;&gt; for i in range(4): print('.')
.
.
.
.
&gt;&gt;&gt; print('.', '.', '.', '.')
. . . .
</code></pre>
<p>In Python, <code>print</code> will add a <code>\n</code> or space. How can I avoid that? I'd like to know how to &quot;append&quot; strings to <code>stdout</code>.</p>
","How to print without a newline or space <p>When I use the <code>print</code> command, it prints whatever I want and then goes to a different line. For example:</p>
<pre><code>print &quot;this should be&quot;; print &quot;on the same line&quot;
</code></pre>
<p>Should return:</p>
<blockquote>
<p>this should be on the same line</p>
</blockquote>
<p>but instead returns:</p>
<blockquote>
<p>this should be<br />
on the same line</p>
</blockquote>
<p>More precisely I was trying to create a program with <code>if</code> that told me whether a number was a 2 or not</p>
<pre><code>def test2(x):
    if x == 2:
        print &quot;Yeah bro, that's tottaly a two&quot;
    else:
        print &quot;Nope, that is not a two. That is a (x)&quot;
</code></pre>
<p>But it doesn't recognise the last <code>(x)</code> as the value entered, and rather prints exactly: &quot;(x)&quot; (the letter with the brackets). To make it work I have to write:</p>
<pre><code>print &quot;Nope, that is not a two. That is a&quot;; print (x)
</code></pre>
<p>And if e.g. I enter <code>test2(3)</code> that gives:</p>
<blockquote>
<p>Nope, that is not a two, that is a<br />
3</p>
</blockquote>
<p>So either I need to make Python recognise my (x) inside a print line as the number; or to print two separate things but on the same line.</p>
<p><strong>IMPORTANT NOTE</strong>: I am using <strong>version 2.5.4</strong></p>
<p>Another note: If I put <code>print &quot;Thing&quot; , print &quot;Thing2&quot;</code> it says &quot;Syntax error&quot; on the 2nd print.</p>
",1540,0,1,1,,,0,0,1
60,How to use glob() to find files recursively?,"<p>I want to open a series of subfolders in a folder and find some text files and print some lines of the text files. I am using this:</p>

<pre><code>configfiles = glob.glob('C:/Users/sam/Desktop/file1/*.txt')
</code></pre>

<p>But this cannot access the subfolders as well. Does anyone know how I can use the same command to access subfolders as well?</p>
",How can I search sub-folders using glob.glob module?,"<p>This is what I have:</p>

<pre><code>glob(os.path.join('src','*.c'))
</code></pre>

<p>but I want to search the subfolders of src. Something like this would work:</p>

<pre><code>glob(os.path.join('src','*.c'))
glob(os.path.join('src','*','*.c'))
glob(os.path.join('src','*','*','*.c'))
glob(os.path.join('src','*','*','*','*.c'))
</code></pre>

<p>But this is obviously limited and clunky.</p>
","How to use glob() to find files recursively? <p>I want to open a series of subfolders in a folder and find some text files and print some lines of the text files. I am using this:</p>

<pre><code>configfiles = glob.glob('C:/Users/sam/Desktop/file1/*.txt')
</code></pre>

<p>But this cannot access the subfolders as well. Does anyone know how I can use the same command to access subfolders as well?</p>
",403,1,1,1,,,1,1,1
61,How to print without a newline or space,"<p>In python, if I say</p>

<pre><code>print 'h'
</code></pre>

<p>I get the letter h and a newline.  If I say </p>

<pre><code>print 'h',
</code></pre>

<p>I get the letter h and no newline.  If I say</p>

<pre><code>print 'h',
print 'm',
</code></pre>

<p>I get the letter h, a space, and the letter m.  How can I prevent Python from printing the space?</p>

<p>The print statements are different iterations of the same loop so I can't just use the + operator.</p>
",How do I keep Python print from adding newlines or spaces? ,"<p>Example in C:</p>
<pre class=""lang-cpp prettyprint-override""><code>for (int i = 0; i &lt; 4; i++)
    printf(&quot;.&quot;);
</code></pre>
<p>Output:</p>
<pre><code>....
</code></pre>
<p>In Python:</p>
<pre class=""lang-py prettyprint-override""><code>&gt;&gt;&gt; for i in range(4): print('.')
.
.
.
.
&gt;&gt;&gt; print('.', '.', '.', '.')
. . . .
</code></pre>
<p>In Python, <code>print</code> will add a <code>\n</code> or space. How can I avoid that? I'd like to know how to &quot;append&quot; strings to <code>stdout</code>.</p>
","How to print without a newline or space <p>In python, if I say</p>

<pre><code>print 'h'
</code></pre>

<p>I get the letter h and a newline.  If I say </p>

<pre><code>print 'h',
</code></pre>

<p>I get the letter h and no newline.  If I say</p>

<pre><code>print 'h',
print 'm',
</code></pre>

<p>I get the letter h, a space, and the letter m.  How can I prevent Python from printing the space?</p>

<p>The print statements are different iterations of the same loop so I can't just use the + operator.</p>
",507,0,1,1,,,0,0,0
62,How do I get time of a Python program's execution? ,"<p>How do you calculate program run time in python?</p>
",How do you calculate program run time in python?,"<p>I have a command line program in Python that takes a while to finish. I want to know the exact time it takes to finish running.</p>

<p>I've looked at the <code>timeit</code> module, but it seems it's only for small snippets of code. I want to time the whole program.</p>
","How do I get time of a Python program's execution?  <p>How do you calculate program run time in python?</p>
",108,1,1,1,,,1,1,1
63,How to check if a string is a substring of items in a list of strings?,"<h3>Background:</h3>
<p>Example list: <code>mylist = ['abc123', 'def456', 'ghi789']</code></p>
<p>I want to retrieve an element if there's a match for a substring, like <code>abc</code></p>
<h3>Code:</h3>
<pre><code>sub = 'abc'
print any(sub in mystring for mystring in mylist)
</code></pre>
<p>above prints <code>True</code> if any of the elements in the list contain the pattern.</p>
<p>I would like to print the element which matches the substring. So if I'm checking <code>'abc'</code> I only want to print <code>'abc123'</code> from list.</p>
",Finding a substring within a list in Python ,"<p>How do I search for items that contain the string <code>'abc'</code> in the following list?</p>
<pre><code>xs = ['abc-123', 'def-456', 'ghi-789', 'abc-456']
</code></pre>
<p>The following checks if <code>'abc'</code> is in the list, but does not detect <code>'abc-123'</code> and <code>'abc-456'</code>:</p>
<pre><code>if 'abc' in xs:
</code></pre>
","How to check if a string is a substring of items in a list of strings? <h3>Background:</h3>
<p>Example list: <code>mylist = ['abc123', 'def456', 'ghi789']</code></p>
<p>I want to retrieve an element if there's a match for a substring, like <code>abc</code></p>
<h3>Code:</h3>
<pre><code>sub = 'abc'
print any(sub in mystring for mystring in mylist)
</code></pre>
<p>above prints <code>True</code> if any of the elements in the list contain the pattern.</p>
<p>I would like to print the element which matches the substring. So if I'm checking <code>'abc'</code> I only want to print <code>'abc123'</code> from list.</p>
",619,0,1,1,,,0,0,0
64,CSV file written with Python has blank lines between each row,"<p>I am using DictWriter to output data in a dictionary to a csv file.  Why does the CSV file have a blank line in between each data line?  It's not a huge deal, but my dataset is big and doesn't fit into one csv file because it has too many lines since the ""double-spacing"" doubles the number of lines in the file.</p>

<p>My code for writing to the dictionary is:</p>

<pre><code>headers=['id', 'year', 'activity', 'lineitem', 'datum']
output = csv.DictWriter(open('file3.csv','w'), delimiter=',', fieldnames=headers)
output.writerow(dict((fn,fn) for fn in headers))
for row in rows:
    output.writerow(row)
</code></pre>
",Why does CSV file contain a blank line in between each data line when outputting with Dictwriter in Python ,"<pre><code>import csv

with open('thefile.csv', 'rb') as f:
  data = list(csv.reader(f))
  import collections
  counter = collections.defaultdict(int)

  for row in data:
        counter[row[10]] += 1


with open('/pythonwork/thefile_subset11.csv', 'w') as outfile:
    writer = csv.writer(outfile)
    for row in data:
        if counter[row[10]] &gt;= 504:
           writer.writerow(row)
</code></pre>

<p>This code reads <code>thefile.csv</code>, makes changes, and writes results to <code>thefile_subset1</code>.</p>

<p>However, when I open the resulting csv in Microsoft Excel, there is an extra blank line after each record!</p>

<p>Is there a way to make it not put an extra blank line?</p>
","CSV file written with Python has blank lines between each row <p>I am using DictWriter to output data in a dictionary to a csv file.  Why does the CSV file have a blank line in between each data line?  It's not a huge deal, but my dataset is big and doesn't fit into one csv file because it has too many lines since the ""double-spacing"" doubles the number of lines in the file.</p>

<p>My code for writing to the dictionary is:</p>

<pre><code>headers=['id', 'year', 'activity', 'lineitem', 'datum']
output = csv.DictWriter(open('file3.csv','w'), delimiter=',', fieldnames=headers)
output.writerow(dict((fn,fn) for fn in headers))
for row in rows:
    output.writerow(row)
</code></pre>
",687,1,1,1,,,1,1,1
65,How to remove items from a list while iterating?,"<p>I have a list</p>
<pre><code>a = [&quot;a&quot;, &quot;b&quot;, &quot;c&quot;, &quot;d&quot;, &quot;e&quot;]
</code></pre>
<p>I want to remove elements in this list in a for loop like below:</p>
<pre><code>for item in a:
    print(item)
    a.remove(item)
</code></pre>
<p>But it doesn't work. What can I do?</p>
",How to remove list elements in a for loop in Python? ,"<p>I'm iterating over a list of tuples in Python, and am attempting to remove them if they meet certain criteria. </p>

<pre><code>for tup in somelist:
    if determine(tup):
         code_to_remove_tup
</code></pre>

<p>What should I use in place of <code>code_to_remove_tup</code>? I can't figure out how to remove the item in this fashion.</p>
","How to remove items from a list while iterating? <p>I have a list</p>
<pre><code>a = [&quot;a&quot;, &quot;b&quot;, &quot;c&quot;, &quot;d&quot;, &quot;e&quot;]
</code></pre>
<p>I want to remove elements in this list in a for loop like below:</p>
<pre><code>for item in a:
    print(item)
    a.remove(item)
</code></pre>
<p>But it doesn't work. What can I do?</p>
",365,0,1,1,,,0,1,1
66,How to create a GUID/UUID in Python,"<p>I need to generate a unique ID based on a random value.</p>
",How can I generate a unique ID in Python? ,"<p>How do I create a GUID in Python that is platform independent? I hear there is a method using ActivePython on Windows but it's Windows only because it uses COM. Is there a method using plain Python?</p>
","How to create a GUID/UUID in Python <p>I need to generate a unique ID based on a random value.</p>
",99,0,0,0,,,0,0,0
67,How can I write a `try`/`except` block that catches all exceptions? ,"<p>I tried making a function to check if an image is displayed on the screen using PyAutoGui and came up with this:</p>

<pre><code>def check_image_on_screen(image):
    try:
        pyautogui.locateCenterOnScreen(image)
        return True
    except:
        return False
</code></pre>

<p>And it works fine, but PyCharm tells me I shouldn't leave <code>except</code> bare. What is the problem with leaving it like this? Is there a more appropriate way of creating the same function?</p>
",What is wrong with using a bare 'except'?,"<p>How can I write a <code>try</code>/<code>except</code> block that catches all exceptions?</p>
","How can I write a `try`/`except` block that catches all exceptions?  <p>I tried making a function to check if an image is displayed on the screen using PyAutoGui and came up with this:</p>

<pre><code>def check_image_on_screen(image):
    try:
        pyautogui.locateCenterOnScreen(image)
        return True
    except:
        return False
</code></pre>

<p>And it works fine, but PyCharm tells me I shouldn't leave <code>except</code> bare. What is the problem with leaving it like this? Is there a more appropriate way of creating the same function?</p>
",559,0,1,1,,,0,1,1
68,How to get a random number between a float range?,"<p>I want a random number between 0 and 1, like 0.3452. I used <code>random.randrange(0, 1)</code> but it is always 0 for me. What should I do?</p>
",Random number between 0 and 1? ,"<p><code>randrange(start, stop)</code> only takes integer arguments. So how would I get a random number between two float values?</p>
","How to get a random number between a float range? <p>I want a random number between 0 and 1, like 0.3452. I used <code>random.randrange(0, 1)</code> but it is always 0 for me. What should I do?</p>
",198,1,1,1,,,1,1,1
69,How can I represent an 'Enum' in Python?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/36932/how-can-i-represent-an-enum-in-python"">How can I represent an 'enum' in Python?</a>  </p>
</blockquote>



<p>What's the common practice for enums in Python? I.e. how are they replicated in Python?</p>

<pre><code>public enum Materials
{
    Shaded,
    Shiny,
    Transparent,
    Matte
}
</code></pre>
",What's the common practice for enums in Python?,"<p>I'm mainly a C# developer, but I'm currently working on a project in Python.</p>

<p>How can I represent the equivalent of an Enum in Python?  </p>
","How can I represent an 'Enum' in Python? <blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/36932/how-can-i-represent-an-enum-in-python"">How can I represent an 'enum' in Python?</a>  </p>
</blockquote>



<p>What's the common practice for enums in Python? I.e. how are they replicated in Python?</p>

<pre><code>public enum Materials
{
    Shaded,
    Shiny,
    Transparent,
    Matte
}
</code></pre>
",457,0,0,0,,,0,0,0
70,Python int to binary string?,"<p>Is there any module or function in python I can use to convert a decimal number to its binary equivalent?
I am able to convert binary to decimal using int('[binary_value]',2), so any way to do the reverse without writing the code to do it myself?</p>
",Convert decimal to binary in python ,"<p>Are there any canned Python methods to convert an Integer (or Long) into a binary string in Python?</p>

<p>There are a myriad of dec2bin() functions out on Google... But I was hoping I could use a built-in function / library.</p>
","Python int to binary string? <p>Is there any module or function in python I can use to convert a decimal number to its binary equivalent?
I am able to convert binary to decimal using int('[binary_value]',2), so any way to do the reverse without writing the code to do it myself?</p>
",283,1,1,1,,,1,1,1
